datasetID,datasetName,licence,ownerName,ownerID,usedBy,uses,pii
dataset1,Dataset title 1,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Organisation 1,1,dataset2,,n
dataset2,Dataset title 2,https://choosealicense.com/licenses/apache-2.0/,Organisation 1,1,dataset1,,y
dataset3,Dataset title 3,https://choosealicense.com/licenses/apache-2.0/,Organisation 2,2,dataset1,dataset2,n
dataset4,Dataset title 4,https://choosealicense.com/licenses/apache-2.0/,Organisation 1,1,,,y
dataset5,Dataset title 5,https://choosealicense.com/licenses/apache-2.0/,Organisation 2,2,,dataset4,n
dataset6,Dataset title 6,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Organisation 1,1,dataset2,,n
dataset7,Dataset title 7,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Organisation 2,2,,dataset3,n
dataset8,Dataset title 8,https://choosealicense.com/licenses/apache-2.0/,Organisation 1,1,dataset1,,y
dataset9,Dataset title 9,https://choosealicense.com/licenses/apache-2.0/,Organisation 2,2,dataset1,dataset2,n
dataset10,Dataset title 10,https://choosealicense.com/licenses/apache-2.0/,Organisation 1,1,,,y
dataset11,Dataset title 11,https://choosealicense.com/licenses/apache-2.0/,Organisation 2,2,,dataset4,n
dataset12,Dataset title 12,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Organisation 1,1,dataset2,,n
dataset13,Dataset title 13,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Organisation 2,2,,dataset3,n
dataset14,Dataset title 14,https://choosealicense.com/licenses/apache-2.0/,Organisation 1,1,dataset1,,y
dataset15,Dataset title 15,https://choosealicense.com/licenses/apache-2.0/,Organisation 2,2,dataset1,dataset2,n
dataset16,Dataset title 16,https://choosealicense.com/licenses/apache-2.0/,Organisation 1,1,,,y
dataset17,Dataset title 17,https://choosealicense.com/licenses/apache-2.0/,Organisation 2,2,,dataset4,n
dataset18,Dataset title 18,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Organisation 1,1,dataset2,,n
dataset19,Dataset title 19,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Organisation 2,2,,dataset3,n
dataset20,Dataset title 20,https://choosealicense.com/licenses/apache-2.0/,Organisation 1,1,dataset1,,y
dataset21,Dataset title 21,https://choosealicense.com/licenses/apache-2.0/,Organisation 2,2,dataset1,dataset2,n
dataset22,Dataset title 22,https://choosealicense.com/licenses/apache-2.0/,Organisation 1,1,,,y
dataset23,Dataset title 23,https://choosealicense.com/licenses/apache-2.0/,Organisation 2,2,,dataset4,n
dataset24,Dataset title 24,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Organisation 1,1,dataset2,,n
dataset25,Dataset title 25,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Organisation 2,2,,dataset3,n
dataset26,Dataset title 26,https://choosealicense.com/licenses/apache-2.0/,Organisation 1,1,dataset1,,y
dataset27,Dataset title 27,https://choosealicense.com/licenses/apache-2.0/,Organisation 2,2,dataset1,dataset2,n
dataset28,Dataset title 28,https://choosealicense.com/licenses/apache-2.0/,Organisation 1,1,,,y
dataset29,Dataset title 29,https://choosealicense.com/licenses/apache-2.0/,Organisation 2,2,dataset1,dataset2,n
dataset30,Dataset title 30,https://choosealicense.com/licenses/apache-2.0/,Organisation 1,1,,,y
